user_id,mc_attempts,sa_attempts,cust_attempts,avg_activity_time,stddev_activity_time
3,38,19,76,80364.25,273960.73257363477
42,4,6,138,210227.15384615384,710851.429396566
11238,0,0,5,45.0,NaN
11372,43,14,105,23.5,19.376304510163653
12055,947,578,1308,25627.43624161074,190527.80263262833
13297,0,0,29,48.333333333333336,71.12196097783956
28550,0,0,2,0.0,NaN
28584,26,11,41,11.416666666666666,16.30091092453722
28585,2,0,10,14.0,NaN
43179,0,0,2,0.0,NaN
56235,969,616,1147,8307.736842105263,50828.53090871339
58032,1214,854,1515,2102.457746478873,26236.629900692482
87366,0,0,96,89.75,67.16335806573899
88313,108,12,1260,73.5,68.89847603539573
92934,0,3,1,3.5,4.949747468305833
95737,467,267,451,60.225563909774436,92.218417977446
105230,108,19,124,196.43478260869566,849.0938927675654
132716,762,462,1073,381.7892561983471,2098.456840890256
134924,15,0,630,1304.1538461538462,4496.684312656639
244490,948,528,1086,2937.3368794326243,28394.542314861315
245611,855,451,1010,2951.0213675213677,23296.129043963894
248211,841,421,1031,3680.7244444444445,30708.53072240819
248289,767,460,1074,94.62121212121212,272.3284687242798
248646,790,439,1074,2975.91452991453,32477.138285175013
249147,867,533,1054,5568.265217391305,47621.83576150931
251131,1809,1093,2023,2686.7263513513512,31220.572749327497
251902,1598,678,1665,957.1021505376344,6583.637467055502
251929,896,535,1612,5223.954385964912,31437.38165594766
259610,967,482,1038,90.94520547945206,546.8252801595839
260082,1095,583,1128,5949.535353535353,43256.434914742735
265680,984,562,1605,10771.944444444445,61122.70100533954
265937,944,598,1160,5237.321033210332,39302.5825755467
268440,1268,602,1268,3190.6807228915663,29458.485185433616
269786,1052,535,1145,2298.4486692015207,25955.782401622368
269866,1469,924,1432,107.82222222222222,444.5641759831014
272421,952,540,1024,6862.171929824562,58035.14930846259
273433,980,532,1326,8064.651063829787,47945.16349401123
285435,821,497,1246,1248.5748987854251,16027.221286680133
309597,1449,841,1192,22247.867158671586,153142.19441695866
309599,1260,682,1640,3186.0746268656717,21874.86195680794
309602,895,578,1463,8747.456790123457,41555.55857231885
309603,890,510,1062,7323.154867256637,48360.08183761018
309608,908,577,1521,10475.581673306773,45955.48529518868
309609,0,7,11,49.0,69.29646455628166
309611,881,469,1085,2280.0079365079364,18308.793176439194
309616,938,558,950,6070.28384279476,50750.33050469471
309620,1124,683,1311,3417.180602006689,26114.181102069866
309624,804,529,1099,4021.5632653061225,28349.281354139937
309638,1050,672,1203,5357.224637681159,33759.02132586582
309668,167,280,149,66.1304347826087,114.27075229873074
309727,1023,564,1239,1424.0307692307692,14246.552352395698
309737,820,499,1302,4567.153508771929,34746.82584797309
309749,838,494,1076,6776.46186440678,44989.13945172827
309761,1239,836,1471,588.4236111111111,4031.7345098490136
309768,438,288,545,214.20661157024793,932.4566917320733
309965,723,469,1047,1547.2684210526315,11884.548577704702
309967,925,627,1995,3957.232727272727,25083.88502263658
309974,305,165,360,3211.746835443038,27973.932220619325
310076,1027,620,1246,2888.334375,34896.304576484035
310091,1432,904,2115,28385.751879699248,140201.90916081777
310158,1067,668,1196,3470.8074074074075,21584.08506662985
310184,1035,735,1574,16744.498269896194,77415.49539229341
310241,1362,795,1562,13235.101818181818,156253.7147492453
310266,796,524,1156,2262.685589519651,19729.816060639736
310405,820,579,1084,3018.6609442060085,39540.13527146066
310433,857,574,1251,3200.7933579335795,26494.251412015154
310485,1034,597,1359,24463.668674698794,97330.24997935623
310486,1008,723,1328,13039.945392491467,71515.79841342289
310512,97,13,152,113.92592592592592,244.91064711691297
310514,1077,983,1665,462.51236749116606,4868.336683020566
310518,1400,847,1786,18139.311203319503,151176.16397894954
310525,979,729,1431,7107.344322344323,47055.46516946602
310530,897,588,1055,6128.389513108615,49795.17161080944
310601,929,496,1460,5387.024489795918,35711.382997550776
310608,855,500,860,5734.248962655602,47847.605953130966
310637,809,490,1262,4088.931914893617,20942.581332674505
310658,836,489,1108,1566.3474576271187,17210.205101885706
310676,959,567,1150,8269.857677902623,50125.382652378205
310689,602,369,592,2925.222222222222,37806.26783770468
310697,313,171,330,5374.402777777777,38447.15941911528
310705,823,484,1278,11505.248927038627,105824.94810998431
310728,817,490,1112,7088.44,43206.51180188915
310764,912,519,1264,1045.2471482889734,14982.165504936544
310765,708,500,1119,7950.392241379311,58184.55489831994
310768,1063,661,1369,6163.641693811075,49680.60843145504
310801,947,655,869,4051.6455696202534,37484.44166099528
310804,680,366,789,3156.2345679012346,39584.74984077906
310807,1357,1019,1868,11945.819494584837,93851.35613693956
310813,702,532,1020,6903.958579881657,45263.90267291143
310820,1019,509,1039,5071.79296875,45276.04517813649
310824,814,463,1004,2722.805907172996,31337.02893198719
310826,920,541,1164,1722.211155378486,11583.911743760616
310827,913,531,1208,15032.46692607004,172572.15617183657
310830,1115,686,1380,6015.590322580645,52124.096497054124
310834,874,629,1144,5506.9808429118775,31276.276781593784
310847,1343,1037,1781,738.2372881355932,5075.5514587253965
310848,904,702,1489,5013.4192439862545,43974.96424529929
310871,916,577,1301,2806.021739130435,32395.341460483844
310974,899,519,1155,3385.8513011152418,28271.053924204327
311055,924,592,1484,4746.55,30633.445363021194
311375,821,537,940,193.98173515981736,927.8442607150886
311414,1329,883,1538,3109.1649831649834,24620.529673460376
311562,845,522,1310,1014.5800865800866,8434.53050683511
311623,1096,605,1456,31430.652329749104,262317.50127720024
311661,922,506,1143,1200.1992337164752,10535.225640247225
311716,1128,825,1480,5700.101754385965,36799.77670066059
311770,966,552,1454,9882.771739130434,56188.72372413977
311778,939,572,1402,3672.3101045296166,34228.72015586318
311782,954,614,1358,6824.186206896552,51029.67920160278
311798,917,614,1060,5671.155303030303,38561.56963769184
311804,1248,647,1201,310.8949044585987,2974.0912127295783
311897,1033,896,1806,14330.17578125,102950.68746718043
312184,117,14,173,2084.090909090909,6358.980344577837
312219,294,141,336,2341.6060606060605,16816.782174481614
313329,292,95,422,18883.53846153846,84060.62686247045
317451,0,0,37,4016.0,5672.410598678484
328973,10,2,13,2.3333333333333335,2.081665999466133
